,1,2,3,4,5,6,7,8,9,10,11,12
2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,3.7
2001,-8.9,-2.4,0.4,-5.9,-10.5,0.8,-18.5,1.3,-12.0,-8.6,1.0,21.6
2002,11.3,-4.3,13.8,4.3,-8.7,-3.8,4.7,-3.2,-13.3,19.3,-0.2,0.2
2003,17.8,-12.2,-8.8,-7.4,6.4,7.3,11.2,-0.7,-1.1,5.0,-1.2,4.3
2004,11.6,7.3,-3.1,-7.9,-2.9,-6.7,-5.8,2.7,7.4,-3.8,1.8,7.7
2005,-2.1,5.5,-4.0,-3.2,1.6,10.3,7.4,-7.0,2.0,-4.5,5.8,11.7
2006,-1.2,-1.1,9.1,9.1,0.6,-2.9,-1.6,2.7,5.9,4.5,8.8,9.4
2007,-2.0,5.0,7.0,-1.1,2.4,10.2,16.8,-6.0,3.4,-8.3,-12.4,-2.9
2008,-11.3,11.7,8.9,5.4,-1.8,-18.3,-5.8,-3.5,-14.3,3.0,11.4,29.2
2009,1.9,9.3,-11.8,5.2,11.1,-11.0,16.5,-3.7,12.3,-0.0,5.3,11.9
2010,-8.7,-1.0,12.5,0.9,-8.1,0.2,11.2,-2.7,6.0,-2.3,-0.5,3.6
2011,-2.9,-5.3,-0.6,2.0,0.6,-2.5,5.4,-8.7,-6.9,2.9,-3.2,-3.3
2012,2.5,17.2,1.3,-6.3,-1.0,0.5,0.4,5.8,2.3,-7.3,2.7,5.8
2013,1.6,2.6,3.9,1.2,5.4,-3.3,4.7,0.4,3.0,2.4,-0.0,5.9
2014,1.3,8.1,3.3,-3.7,3.9,3.7,0.1,-1.0,-4.0,-4.5,1.2,4.5
2015,0.9,0.8,2.7,3.0,-1.6,-3.0,-10.6,-4.5,10.2,6.0,2.1,1.3
2016,-3.4,1.9,-0.6,-1.9,1.4,1.6,2.3,2.3,-0.9,-2.6,-1.3,0.7
2017,3.2,6.4,1.2,-1.0,0.7,1.4,4.1,5.0,1.1,2.7,1.3,0.6
2018,1.7,-2.0,4.6,-2.8,-0.0,2.5,-0.7,0.2,-2.3,-11.6,4.1,-3.2
2019,2.7,3.9,4.9,1.0,-0.6,1.5,4.6,-0.1,1.2,1.6,0.2,3.2
2020,-3.6,-1.1,-15.6,17.4,5.8,6.1,5.6,4.1,-0.8,1.6,8.8,4.9
2021,-5.6,9.2,9.5,7.8,-8.8,9.8,-0.9,-1.0,-1.4,-1.3,3.1,3.2
2022,-6.9,1.1,4.1,-2.0,1.5,-4.3,5.5,7.4,-7.9,-6.1,11.1,-2.1
2023,3.1,5.9,4.9,1.7,4.6,4.1,2.1,-2.4,-0.3,-2.1,8.5,-0.6
2024,0.9,8.1,1.1,4.6,4.5,4.0,1.8,-2.2,0.0,0.0,0.0,0.0
